ward,d1_pop_0015,d2_youth_density_km2,d3_idaci_popweighted,area_km2,pitch_sites_weighted,pitch_capacity_weighted,schools_weighted,s1_pitches_per_1k_children,s3_schools_per_1k_children,readiness_indicators,z_d1,z_d2,z_d3,demand_index,z_s1,z_s3,readiness_index,need_weighted,provision_per_1k_weighted,gap_w,quadrant,quadrant_label,quadrant_action
Little Horton,7127,2681.0,27.9,2.66,0,0,21.5,0.0,3.02,S3,2.079,2.498,0.928,1.835,0.0,1.116,0.558,10083.3,0.0,0.071,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Manningham,4126,1643.8,31.5,2.51,0,0,22.0,0.0,5.33,S3,-0.096,1.092,1.337,0.778,0.0,2.82,1.41,6590.7,0.0,0.0464,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Queensbury,3280,329.9,12.0,9.94,0,0,2.0,0.0,0.61,S3,-0.709,-0.69,-0.876,-0.759,0.0,-0.662,-0.331,1995.9,0.0,0.0141,Q4,Monitor,Low current need; revisit as demographics shift
Royds,5049,1029.8,29.3,4.9,0,0,8.5,0.0,1.68,S3,0.573,0.259,1.087,0.64,0.0,0.128,0.064,7501.8,0.0,0.0528,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Shipley,2670,494.7,12.2,5.4,0,0,2.5,0.0,0.94,S3,-1.152,-0.467,-0.853,-0.824,0.0,-0.418,-0.209,1651.8,0.0,0.0116,Q4,Monitor,Low current need; revisit as demographics shift
Thornton and Allerton,4391,307.6,23.1,14.28,0,0,5.5,0.0,1.25,S3,0.096,-0.721,0.384,-0.08,0.0,-0.19,-0.095,5143.6,0.0,0.0362,Q4,Monitor,Low current need; revisit as demographics shift
Toller,5645,2516.2,23.4,2.24,0,0,13.5,0.0,2.39,S3,1.005,2.275,0.418,1.233,0.0,0.651,0.326,6698.4,0.0,0.0472,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Tong,5983,412.5,31.9,14.5,0,0,12.0,0.0,2.01,S3,1.25,-0.578,1.382,0.685,0.0,0.371,0.185,9678.4,0.0,0.0682,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Wharfedale,2331,146.3,3.2,15.93,0,0,0,0.0,0.0,S3,-1.397,-0.939,-1.875,-1.404,0.0,-1.111,-0.556,378.3,0.0,0.0027,Q4,Monitor,Low current need; revisit as demographics shift
Wibsey,3366,1163.4,24.6,2.89,0,0,10.5,0.0,3.12,S3,-0.647,0.44,0.554,0.116,0.0,1.19,0.595,4199.0,0.0,0.0296,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Windhill and Wrose,3543,830.8,21.9,4.26,0,0,9.0,0.0,2.54,S3,-0.519,-0.011,0.247,-0.094,0.0,0.762,0.381,3934.7,0.0,0.0277,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Worth Valley,2411,40.9,7.7,58.98,0,0,0,0.0,0.0,S3,-1.339,-1.082,-1.364,-1.262,0.0,-1.111,-0.556,941.4,0.0,0.0066,Q4,Monitor,Low current need; revisit as demographics shift
Wyke,2748,354.9,19.5,7.74,0,0,2.0,0.0,0.73,S3,-1.095,-0.657,-0.025,-0.592,0.0,-0.573,-0.287,2717.3,0.0,0.0191,Q4,Monitor,Low current need; revisit as demographics shift
